5000,1.4964818954467773e-06
10000,7.995843887329101e-07
15000,1.1000394821166992e-06
20000,1.8490314483642578e-06
25000,1.2000799179077149e-06
30000,1.505255699157715e-06
35000,1.7969846725463866e-06
40000,1.3098001480102538e-06
45000,2.8974294662475584e-06
50000,1.897859573364258e-06
55000,1.7986297607421874e-06
60000,1.5781879425048827e-06
65000,1.4960289001464844e-06
70000,1.6573190689086914e-06
75000,1.4371871948242187e-06
80000,1.6954183578491212e-06
85000,1.1017560958862305e-06
90000,1.696944236755371e-06
95000,1.4966726303100586e-06
100000,1.2028694152832032e-06
